indice;catalog_element_id;optional;vmnaming;hostnaming;commercialname;shortname;osfamily;version;type;language;architecture;description;useapplicationtypeid;minmo;maxmo;minmhz;mincpu;maxcpu;middlewareid;role;isrelay;repupgrade
81;1501;false;UCS1000S01;UCS1000S01;UCSS01 1000-HCS861V1;UCS1000S01-HCS861V1;RedHat;HCS8.6.1 V1;UCS1000S01;FR;32bits;UCSS01 (CUCM) 1000 users HCS8.6.1 V1;CUCM;4096;4096;800;1;1;;S;;
82;2501;false;UCS1000S01;UCS1000S01;UCSS01 1000-HCS862V1;UCS1000S01-HCS862V1;RedHat;HCS8.6.2 V1;UCS1000S01;FR;32bits;UCSS01 (CUCM) 1000 users HCS8.6.2 V1;CUCM;4096;4096;800;1;1;;S;;
83;4501;false;UCS1000S01;UCS1000S01;UCSS01 1000-HCS862V3;UCS1000S01-HCS862V3;RedHat;HCS8.6.2 V3;UCS1000S01;FR;32bits;UCSS01 (CUCM) 1000 devices HCS8.6.2 V3;CUCM;4096;4096;800;1;1;;S;;
84;1502;false;UC1000CNX01;UC1000CNX01;UCNX01 1000-HCS861V1;UC1000CNX01-HCS861V1;RedHat;HCS8.6.1 V1;UC1000CNX01;FR;32bits;UCNX01 (Unity) 1000 users HCS8.6.1 V1;Unity;4096;4096;2500;1;1;;"";;
85;2502;false;UC1000CNX01;UC1000CNX01;UCNX01 1000-HCS862V1;UC1000CNX01-HCS862V1;RedHat;HCS8.6.2 V1;UC1000CNX01;FR;32bits;UCNX01 (Unity) 1000 users HCS8.6.2 V1;Unity;4096;4096;2500;1;1;;"";;
86;4502;false;UC1000CNX01;UC1000CNX01;UCNX01 1000-HCS862V3;UC1000CNX01-HCS862V3;RedHat;HCS8.6.2 V3;UC1000CNX01;FR;32bits;UCNX01 (Unity) 1000 devices HCS8.6.2 V3;Unity;4096;4096;2300;1;1;;"";;
87;1503;false;UC1000PS01;UC1000PS01;UCPS01 1000-HCS861V1;UC1000PS01-HCS861V1;RedHat;HCS8.6.1 V1;UC1000PS01;FR;32bits;UCPS01 (CUPS) 1000 users HCS8.6.1 V1;CUPS;2048;2048;800;2;2;;"";;
88;2503;false;UC1000PS01;UC1000PS01;UCPS01 1000-HCS862V1;UC1000PS01-HCS862V1;RedHat;HCS8.6.2 V1;UC1000PS01;FR;32bits;UCPS01 (CUPS) 1000 users HCS8.6.2 V1;CUPS;2048;2048;800;2;2;;"";;
89;4503;false;UC1000PS01;UC1000PS01;UCPS01 1000-HCS862V3;UC1000PS01-HCS862V3;RedHat;HCS8.6.2 V3;UC1000PS01;FR;32bits;UCPS01 (CUPS) 1000 devices HCS8.6.2 V3;CUPS;4096;4096;1500;1;2;;"";;
90;3500;false;UCS1000P01;UCS1000P01;UCSP01 1000-HCS862V2;UCS1000P01-HCS862V2;RedHat;HCS8.6.2 V2;UCS1000P01;FR;32bits;UCSP01 (CUCM) 1000 users HCH8.6.2 V2;CUCM;4096;4096;800;1;1;;P;;
